date,forecast_sales,forecast_lower,forecast_upper,actual_sales,level,group_name
2014-01-31,0.0,-1.2483735107553328e-09,1.2290894034840326e-09,0.0,actual_sales,all
2014-02-28,0.0,-1.2831283368289687e-09,1.321310878195299e-09,0.0,actual_sales,all
2014-03-31,0.0,-1.243375939811046e-09,1.2737805906816118e-09,0.0,actual_sales,all
2014-04-30,0.0,-1.2125891637784428e-09,1.2898697379056224e-09,0.0,actual_sales,all
2014-05-31,0.0,-1.2824655967488655e-09,1.3020887386994576e-09,0.0,actual_sales,all
2014-06-30,0.0,-1.263767373429908e-09,1.2845002417684163e-09,0.0,actual_sales,all
2014-07-31,0.0,-1.3108439150452842e-09,1.2801082559802516e-09,0.0,actual_sales,all
2014-08-31,0.0,-1.3245687644940995e-09,1.3019020246708223e-09,0.0,actual_sales,all
2014-09-30,0.0,-1.2280793656884996e-09,1.2715214257460152e-09,0.0,actual_sales,all
2014-10-31,0.0,-1.315203770147753e-09,1.2110408324864724e-09,0.0,actual_sales,all
2014-11-30,0.0,-1.2996190571421117e-09,1.2832862884917965e-09,0.0,actual_sales,all
2014-12-31,0.0,-1.2536852891816344e-09,1.3615502857627665e-09,0.0,actual_sales,all
2015-01-31,0.0,-1.4091513249394093e-09,1.2716694211984893e-09,0.0,actual_sales,all
2015-02-28,0.0,-1.323339315748616e-09,1.2693031408138962e-09,0.0,actual_sales,all
2015-03-31,0.0,-1.2606466874645185e-09,1.3368066787949858e-09,0.0,actual_sales,all
2015-04-30,0.0,-1.223565605169361e-09,1.2114556688777415e-09,0.0,actual_sales,all
2015-05-31,0.0,-1.2691096821522973e-09,1.2701602826946352e-09,0.0,actual_sales,all
2015-06-30,0.0,-1.3795323648963795e-09,1.3331880310613967e-09,0.0,actual_sales,all
2015-07-31,0.0,-1.2180005281251563e-09,1.2644432666052807e-09,0.0,actual_sales,all
2015-08-31,0.0,-1.262627568464761e-09,1.2303561114833626e-09,0.0,actual_sales,all
2015-09-30,0.0,-1.267357012920917e-09,1.2261704634837819e-09,0.0,actual_sales,all
2015-10-31,0.0,-1.341903497277664e-09,1.408954620525295e-09,0.0,actual_sales,all
2015-11-30,0.0,-1.3205098924966734e-09,1.295677249615938e-09,0.0,actual_sales,all
2015-12-31,0.0,-1.2804366338929647e-09,1.2479832879332992e-09,0.0,actual_sales,all
2016-01-31,0.0,-1.3041450160533882e-09,1.2622807401813526e-09,0.0,actual_sales,all
2016-02-29,0.0,-1.3307739567591866e-09,1.3109601912974696e-09,0.0,actual_sales,all
2016-03-31,0.0,-1.2054703263147615e-09,1.273626322942266e-09,0.0,actual_sales,all
2016-04-30,0.0,-1.30943720913307e-09,1.2816982347814071e-09,0.0,actual_sales,all
2016-05-31,0.0,-1.2795412013092183e-09,1.2750049433567741e-09,0.0,actual_sales,all
2016-06-30,0.0,-1.301654287259315e-09,1.2720184693370637e-09,0.0,actual_sales,all
2016-07-31,0.0,-1.367043056106343e-09,1.255183969639634e-09,0.0,actual_sales,all
2016-08-31,0.0,-1.252264939545477e-09,1.25984298815288e-09,0.0,actual_sales,all
2016-09-30,0.0,-1.2593176886528942e-09,1.3320877705363475e-09,0.0,actual_sales,all
2016-10-31,0.0,-1.2567762335039334e-09,1.2916241812411323e-09,0.0,actual_sales,all
2016-11-30,0.0,-1.305442868582155e-09,1.223085321863896e-09,0.0,actual_sales,all
2016-12-31,0.0,-1.2650519174427039e-09,1.3258618720255768e-09,0.0,actual_sales,all
2017-01-31,0.0,-1.2706536936979556e-09,1.2368358662518123e-09,0.0,actual_sales,all
2017-02-28,0.0,-1.2915101699781735e-09,1.2141456155659088e-09,0.0,actual_sales,all
2017-03-31,0.0,-1.2774176499895814e-09,1.1614931619228112e-09,0.0,actual_sales,all
2017-04-30,0.0,-1.2803509069231133e-09,1.2991004678353033e-09,0.0,actual_sales,all
2017-05-31,0.0,-1.3130806191506268e-09,1.211524515111925e-09,0.0,actual_sales,all
2017-06-30,0.0,-1.2244098160643037e-09,1.2511572383395395e-09,0.0,actual_sales,all
2017-07-31,0.0,-1.1966836086562689e-09,1.3203016474721712e-09,0.0,actual_sales,all
2017-08-31,0.0,-1.2994096396616658e-09,1.2661684245284877e-09,0.0,actual_sales,all
2017-09-30,0.0,-1.2951789085725286e-09,1.33832328283141e-09,0.0,actual_sales,all
2017-10-31,0.0,-1.2688495211387017e-09,1.2655009533955854e-09,0.0,actual_sales,all
